linear old,neural old,linear new,neural new
0.97,0.95,0.97,0.95
0.96,0.96,0.91,0.92
0.96,0.98,0.98,0.99
0.94,0.98,0.93,0.98
0.81,0.85,0.97,0.95
0.64,0.44,0.96,0.94
0.26,0.08,0.97,0.94
0.04,0.0,0.97,0.94
0.0,0.0,0.94,0.89
0.01,0.0,0.93,0.9
0.0,0.0,0.95,0.88
0.0,0.0,0.89,0.84
0.0,0.0,0.93,0.9
0.0,0.0,0.86,0.78
0.0,0.0,0.84,0.82
0.0,0.0,0.82,0.87
0.0,0.0,0.73,0.69
0.0,0.0,0.69,0.67
0.0,0.0,0.64,0.65
0.0,0.0,0.57,0.52
0.0,0.0,0.49,0.46
0.0,0.0,0.37,0.39
0.0,0.0,0.35,0.28
0.0,0.0,0.25,0.2
0.0,0.0,0.13,0.17
0.0,0.0,0.13,0.12
0.0,0.0,0.05,0.07
0.0,0.0,0.07,0.06
0.0,0.0,0.07,0.04
0.0,0.0,0.01,0.01
0.0,0.0,0.0,0.0
