linear old,neural old,linear new,neural new
0.99,0.965,0.98,0.965
0.97,0.975,0.96,0.965
0.94,0.99,0.96,0.995
0.94,0.965,0.945,0.98
0.925,0.945,0.935,0.965
0.85,0.815,0.96,0.965
0.665,0.5,0.96,0.96
0.405,0.2,0.955,0.945
0.17,0.015,0.95,0.93
0.015,0.0,0.96,0.94
0.01,0.0,0.94,0.925
0.0,0.0,0.955,0.93
0.0,0.0,0.96,0.925
0.0,0.0,0.945,0.91
0.0,0.0,0.92,0.9
0.0,0.0,0.905,0.91
0.0,0.0,0.925,0.905
0.0,0.0,0.82,0.85
0.0,0.0,0.755,0.725
0.0,0.0,0.68,0.785
0.0,0.0,0.645,0.725
0.0,0.0,0.555,0.73
0.0,0.0,0.47,0.645
0.0,0.0,0.425,0.595
0.0,0.0,0.275,0.48
0.0,0.0,0.2,0.365
0.0,0.0,0.17,0.355
0.0,0.0,0.105,0.255
0.0,0.0,0.05,0.23
0.0,0.0,0.06,0.18
0.0,0.0,0.04,0.125
0.0,0.0,0.02,0.135
0.0,0.0,0.025,0.06
0.0,0.0,0.01,0.085
0.0,0.0,0.005,0.035
